Section_id,bow,lemmas
10,"['de', 'officio', 'praefecti', 'praetorio']","[('de', 'de'), ('officio', 'officium'), ('praefecti', 'praefectus'), ('praetorio', 'praetorius')]"
11,"['de', 'officio', 'praefecti', 'urbi']","[('de', 'de'), ('officio', 'officium'), ('praefecti', 'praefectus'), ('urbi', 'urbs')]"
12,"['de', 'officio', 'quaestoris']","[('de', 'de'), ('officio', 'officium'), ('quaestoris', 'quaestor')]"
13,"['de', 'officio', 'praetorum']","[('de', 'de'), ('officio', 'officium'), ('praetorum', 'praetor')]"
14,"['de', 'officio', 'praefecti', 'vigilum']","[('de', 'de'), ('officio', 'officium'), ('praefecti', 'praefectus'), ('vigilum', 'vigilis')]"
15,"['de', 'officio', 'proconsulis', 'et', 'legati']","[('de', 'de'), ('officio', 'officium'), ('proconsulis', 'proconsulis'), ('et', 'et'), ('legati', 'legatus')]"
16,"['de', 'officio', 'praefecti', 'augustalis']","[('de', 'de'), ('officio', 'officium'), ('praefecti', 'praefectus'), ('augustalis', 'augustal')]"
17,"['de', 'officio', 'praesidis']","[('de', 'de'), ('officio', 'officium'), ('praesidis', 'praesidero')]"
18,"['de', 'officio', 'procuratoris', 'caesaris', 'vel', 'rationalis']","[('de', 'de'), ('officio', 'officium'), ('procuratoris', 'procurator'), ('caesaris', 'caesar'), ('vel', 'vel'), ('rationalis', 'rational')]"
19,"['de', 'officio', 'iuridici']","[('de', 'de'), ('officio', 'officium'), ('iuridici', 'juridicus')]"
20,"['de', 'officio', 'eius']","[('de', 'de'), ('officio', 'officium'), ('eius', 'is')]"
21,"['de', 'officio', 'adsessorum']","[('de', 'de'), ('officio', 'officium'), ('adsessorum', 'adsessor')]"
22,"['de', 'iurisdictione']","[('de', 'de'), ('iurisdictione', 'iurisdictio')]"
23,"['quod', 'quisque', 'iuris', 'in', 'alterum', 'statuerit']","[('quod', 'qui'), ('quisque', 'quisque'), ('iuris', 'ius'), ('in', 'in'), ('alterum', 'alter'), ('statuerit', 'statuo')]"
24,"['si', 'quis', 'ius', 'dicenti', 'non', 'obtemperaverit']","[('si', 'si'), ('quis', 'quis'), ('ius', 'ius'), ('dicenti', 'dico'), ('non', 'non'), ('obtemperaverit', 'obtempero')]"
25,"['de', 'in', 'ius', 'vocando']","[('de', 'de'), ('in', 'in'), ('ius', 'ius'), ('vocando', 'voco')]"
26,"['si', 'quis', 'in', 'ius', 'vocatus', 'non', 'ierit', 'sive', 'quis', 'eum', 'vocaverit']","[('si', 'si'), ('quis', 'quis'), ('in', 'in'), ('ius', 'ius'), ('vocatus', 'voco'), ('non', 'non'), ('ierit', 'eo1'), ('sive', 'sive'), ('quis', 'quis'), ('eum', 'is'), ('vocaverit', 'voco')]"
27,"['in', 'ius', 'vocati', 'ut', 'eant', 'aut', 'satis', 'vel', 'cautum', 'dent']","[('in', 'in'), ('ius', 'ius'), ('vocati', 'voco'), ('ut', 'ut'), ('eant', 'eo'), ('aut', 'aut'), ('satis', 'satis'), ('vel', 'vel'), ('cautum', 'caueo'), ('dent', 'do')]"
28,"['ne', 'quis', 'eum', 'qui', 'in', 'ius', 'vocabitur', 'vi', 'eximat']","[('ne', 'ne'), ('quis', 'quis'), ('eum', 'is'), ('qui', 'qui'), ('in', 'in'), ('ius', 'ius'), ('vocabitur', 'voco'), ('vi', 'vis'), ('eximat', 'eximo')]"
29,"['qui', 'satisdare', 'cogantur', 'vel', 'iurato', 'promittant', 'vel', 'suae', 'promissioni', 'committantur']","[('qui', 'qui'), ('satisdare', 'satisdaris'), ('cogantur', 'cogo'), ('vel', 'vel'), ('iurato', 'juro'), ('promittant', 'promitto'), ('vel', 'vel'), ('suae', 'suus'), ('promissioni', 'promissio'), ('committantur', 'committo')]"
30,"['si', 'ex', 'noxali', 'causa', 'agatur']","[('si', 'si'), ('ex', 'ex'), ('noxali', 'noxal'), ('causa', 'causa'), ('agatur', 'ago')]"
31,"['de', 'eo', 'per', 'quem', 'factum', 'erit', 'quominus', 'quis', 'in', 'iudicio', 'sistat']","[('de', 'de'), ('eo', 'is'), ('per', 'per'), ('quem', 'qui'), ('factum', 'facio'), ('erit', 'sum'), ('quominus', 'quominus'), ('quis', 'quis'), ('in', 'in'), ('iudicio', 'iudicium'), ('sistat', 'sisto')]"
32,"['si', 'quis', 'cautionibus', 'in', 'iudicio', 'sistendi', 'causa', 'factis', 'non', 'obtemperaverit']","[('si', 'si'), ('quis', 'quis'), ('cautionibus', 'cautio'), ('in', 'in'), ('iudicio', 'iudicium'), ('sistendi', 'sisto'), ('causa', 'causa'), ('factis', 'facio'), ('non', 'non'), ('obtemperaverit', 'obtempero')]"
33,"['de', 'feriis', 'et', 'dilationibus', 'et', 'diversis', 'temporibus']","[('de', 'de'), ('feriis', 'feriae'), ('et', 'et'), ('dilationibus', 'dilatio'), ('et', 'et'), ('diversis', 'diverto'), ('temporibus', 'tempus')]"
34,"['de', 'edendo']","[('de', 'de'), ('edendo', 'edo1')]"
35,"['de', 'pactis']","[('de', 'de'), ('pactis', 'paciscor')]"
36,"['de', 'transactionibus']","[('de', 'de'), ('transactionibus', 'transactio')]"
37,"['de', 'postulando']","[('de', 'de'), ('postulando', 'postulo')]"
38,"['de', 'his', 'qui', 'notantur', 'infamia']","[('de', 'de'), ('his', 'hic'), ('qui', 'qui'), ('notantur', 'noto'), ('infamia', 'infamia')]"
39,"['de', 'procuratoribus', 'et', 'defensoribus']","[('de', 'de'), ('procuratoribus', 'procurator'), ('et', 'et'), ('defensoribus', 'defensor')]"
40,"['quod', 'cuiuscumque', 'universitatis', 'nomine', 'vel', 'contra', 'eam', 'agatur']","[('quod', 'qui'), ('cuiuscumque', 'quicumque'), ('universitatis', 'universitas'), ('nomine', 'nomen'), ('vel', 'vel'), ('contra', 'contra'), ('eam', 'is'), ('agatur', 'ago')]"
41,"['de', 'negotiis', 'gestis']","[('de', 'de'), ('negotiis', 'negotium'), ('gestis', 'gero')]"
42,"['de', 'calumniatoribus']","[('de', 'de'), ('calumniatoribus', 'calumniator')]"
43,"['de', 'in', 'integrum', 'restitutionibus']","[('de', 'de'), ('in', 'in'), ('integrum', 'integer'), ('restitutionibus', 'restitutio')]"
44,"['quod', 'metus', 'causa', 'gestum', 'erit']","[('quod', 'qui'), ('metus', 'metus'), ('causa', 'causa'), ('gestum', 'gero'), ('erit', 'sum')]"
45,"['de', 'dolo', 'malo']","[('de', 'de'), ('dolo', 'dolo1'), ('malo', 'malo')]"
46,"['de', 'minoribus', 'viginti', 'quinque', 'annis']","[('de', 'de'), ('minoribus', 'paruus'), ('viginti', 'viginti'), ('quinque', 'quinque'), ('annis', 'annus')]"
47,"['de', 'capite', 'minutis']","[('de', 'de'), ('capite', 'caput'), ('minutis', 'minuo')]"
48,"['ex', 'quibus', 'causis', 'maiores', 'viginti', 'quinque', 'annis', 'in', 'integrum', 'restituuntur']","[('ex', 'ex'), ('quibus', 'qui'), ('causis', 'causa'), ('maiores', 'magnus'), ('viginti', 'viginti'), ('quinque', 'quinque'), ('annis', 'annus'), ('in', 'in'), ('integrum', 'integer'), ('restituuntur', 'restituo')]"
49,"['de', 'alienatione', 'iudicii', 'mutandi', 'causa', 'facta']","[('de', 'de'), ('alienatione', 'alienatio'), ('iudicii', 'iudicium'), ('mutandi', 'muto1'), ('causa', 'causa'), ('facta', 'facio')]"
50,"['de', 'receptis']","[('de', 'de'), ('receptis', 'recipio')]"
51,"['nautae', 'caupones', 'stabularii', 'ut', 'recepta', 'restituant']","[('nautae', 'nauta'), ('caupones', 'caupo'), ('stabularii', 'stabularius'), ('ut', 'ut'), ('recepta', 'recipio'), ('restituant', 'restituo')]"
52,"['de', 'iudiciis']","[('de', 'de'), ('iudiciis', 'iudicium')]"
53,"['de', 'inofficioso', 'testamento']","[('de', 'de'), ('inofficioso', 'inofficiosus'), ('testamento', 'testamentum')]"
54,"['de', 'hereditatis', 'petitione']","[('de', 'de'), ('hereditatis', 'hereditas'), ('petitione', 'petitio')]"
55,"['si', 'pars', 'hereditatis', 'petatur']","[('si', 'si'), ('pars', 'pars'), ('hereditatis', 'hereditas'), ('petatur', 'peto')]"
56,"['de', 'possessoria', 'hereditatis', 'petitione']","[('de', 'de'), ('possessoria', 'possessorius'), ('hereditatis', 'hereditas'), ('petitione', 'petitio')]"
57,"['de', 'fideicommissaria', 'hereditatis', 'petitione']","[('de', 'de'), ('fideicommissaria', 'fideicommissarius'), ('hereditatis', 'hereditas'), ('petitione', 'petitio')]"
58,"['de', 'rei', 'vindicatione']","[('de', 'de'), ('rei', 'res'), ('vindicatione', 'vindicatio')]"
59,"['de', 'publiciana', 'in', 'rem', 'actione']","[('de', 'de'), ('publiciana', 'publiciana'), ('in', 'in'), ('rem', 'res'), ('actione', 'actio')]"
60,"['si', 'ager', 'vectigalis']","[('si', 'si'), ('ager', 'ager'), ('vectigalis', 'vectigal')]"
61,"['de', 'usu', 'fructu', 'et', 'quemadmodum', 'quis', 'utatur', 'fruatur']","[('de', 'de'), ('usu', 'usus'), ('fructu', 'fructus'), ('et', 'et'), ('quemadmodum', 'quemadmodum'), ('quis', 'quis'), ('utatur', 'uto'), ('fruatur', 'fruor')]"
62,"['de', 'usu', 'fructu', 'adcrescendo']","[('de', 'de'), ('usu', 'usus'), ('fructu', 'fructus'), ('adcrescendo', 'ad-cresco')]"
63,"['quando', 'dies', 'usus', 'fructus', 'legati', 'cedat']","[('quando', 'quando'), ('dies', 'dies'), ('usus', 'utor'), ('fructus', 'fruor'), ('legati', 'legatus'), ('cedat', 'cedo')]"
64,"['quibus', 'modis', 'usus', 'fructus', 'vel', 'usus', 'amittitur']","[('quibus', 'qui'), ('modis', 'modus'), ('usus', 'utor'), ('fructus', 'fruor'), ('vel', 'vel'), ('usus', 'utor'), ('amittitur', 'amitto')]"
65,"['de', 'usu', 'fructu', 'earum', 'rerum']","[('de', 'de'), ('usu', 'usus'), ('fructu', 'fructus'), ('earum', 'is'), ('rerum', 'res')]"
66,"['si', 'usus', 'fructus', 'petetur', 'vel', 'ad', 'alium', 'pertinere', 'negetur']","[('si', 'si'), ('usus', 'utor'), ('fructus', 'fruor'), ('petetur', 'peto'), ('vel', 'vel'), ('ad', 'ad'), ('alium', 'alius'), ('pertinere', 'pertineo'), ('negetur', 'nego')]"
67,"['de', 'operis', 'servorum']","[('de', 'de'), ('operis', 'opus'), ('servorum', 'servus1')]"
68,"['de', 'usu', 'et', 'habitatione']","[('de', 'de'), ('usu', 'usus'), ('et', 'et'), ('habitatione', 'habitatio')]"
69,"['usufructuarius', 'quemadmodum', 'caveat']","[('usufructuarius', 'usufructuarius'), ('quemadmodum', 'quemadmodum'), ('caveat', 'caveat')]"
70,"['de', 'servitutibus']","[('de', 'de'), ('servitutibus', 'servitus')]"
71,"['de', 'servitutibus', 'praediorum', 'urbanorum']","[('de', 'de'), ('servitutibus', 'servitus'), ('praediorum', 'praedium'), ('urbanorum', 'urbanus')]"
72,"['de', 'servitutibus', 'praediorum', 'rusticorum']","[('de', 'de'), ('servitutibus', 'servitus'), ('praediorum', 'praedium'), ('rusticorum', 'rusticus')]"
73,"['communia', 'praediorum', 'tam', 'urbanorum', 'quam', 'rusticorum']","[('communia', 'commune'), ('praediorum', 'praedium'), ('tam', 'tam'), ('urbanorum', 'urbanus'), ('quam', 'quam'), ('rusticorum', 'rusticus')]"
74,"['si', 'servitus', 'vindicetur', 'vel', 'ad', 'alium', 'pertinere', 'negetur']","[('si', 'si'), ('servitus', 'servio'), ('vindicetur', 'vindico'), ('vel', 'vel'), ('ad', 'ad'), ('alium', 'alius'), ('pertinere', 'pertineo'), ('negetur', 'nego')]"
75,"['quemadmodum', 'servitutes', 'amittuntur']","[('quemadmodum', 'quemadmodum'), ('servitutes', 'servitus'), ('amittuntur', 'amitto')]"
76,"['si', 'quadrupes', 'pauperiem', 'fecisse', 'dicatur']","[('si', 'si'), ('quadrupes', 'quadrupes'), ('pauperiem', 'pauperies'), ('fecisse', 'facio'), ('dicatur', 'dico')]"
77,"['ad', 'legem', 'aquiliam']","[('ad', 'ad'), ('legem', 'lex'), ('aquiliam', 'aquiliam')]"
78,"['de', 'his']","[('de', 'de'), ('his', 'hic')]"
79,"['de', 'noxalibus', 'actionibus']","[('de', 'de'), ('noxalibus', 'noxal'), ('actionibus', 'actio')]"
80,"['finium', 'regundorum']","[('finium', 'finis'), ('regundorum', 'rego')]"
81,"['familiae', 'erciscundae']","[('familiae', 'familia'), ('erciscundae', 'erciscundae')]"
82,"['communi', 'dividundo']","[('communi', 'communio1'), ('dividundo', 'divido')]"
83,"['ad', 'exhibendum']","[('ad', 'ad'), ('exhibendum', 'exhibeo')]"
84,"['de', 'interrogationibus', 'in', 'iure', 'faciendis', 'et', 'interrogatoriis', 'actionibus']","[('de', 'de'), ('interrogationibus', 'interrogatio'), ('in', 'in'), ('iure', 'ius'), ('faciendis', 'facio'), ('et', 'et'), ('interrogatoriis', 'interrogatorius'), ('actionibus', 'actio')]"
85,"['de', 'quibus', 'rebus', 'ad', 'eundem', 'iudicem', 'eatur']","[('de', 'de'), ('quibus', 'qui'), ('rebus', 'res'), ('ad', 'ad'), ('eundem', 'idem'), ('iudicem', 'judico'), ('eatur', 'eatur')]"
86,"['de', 'servo', 'corrupto']","[('de', 'de'), ('servo', 'servo'), ('corrupto', 'corrumpo')]"
87,"['de', 'fugitivis']","[('de', 'de'), ('fugitivis', 'fugitivus')]"
88,"['de', 'aleatoribus']","[('de', 'de'), ('aleatoribus', 'aleator')]"
89,"['si', 'mensor', 'falsum', 'modum', 'dixerit']","[('si', 'si'), ('mensor', 'mensor'), ('falsum', 'falsus'), ('modum', 'modus'), ('dixerit', 'dico')]"
90,"['de', 'religiosis', 'et', 'sumptibus', 'funerum', 'et', 'ut', 'funus', 'ducere', 'liceat']","[('de', 'de'), ('religiosis', 'religiosus'), ('et', 'et'), ('sumptibus', 'sumptus'), ('funerum', 'funus'), ('et', 'et'), ('ut', 'ut'), ('funus', 'funus'), ('ducere', 'duco'), ('liceat', 'licet')]"
91,"['de', 'mortuo', 'inferendo', 'et', 'sepulchro', 'aedificando']","[('de', 'de'), ('mortuo', 'mortuus'), ('inferendo', 'infero'), ('et', 'et'), ('sepulchro', 'sepulcrum'), ('aedificando', 'aedifico')]"
92,"['de', 'rebus', 'creditis', 'si', 'certum', 'petetur', 'et', 'de', 'condictione']","[('de', 'de'), ('rebus', 'res'), ('creditis', 'credo'), ('si', 'si'), ('certum', 'certus'), ('petetur', 'peto'), ('et', 'et'), ('de', 'de'), ('condictione', 'condictio')]"
93,"['de', 'iureiurando', 'sive', 'voluntario', 'sive', 'necessario', 'sive', 'iudiciali']","[('de', 'de'), ('iureiurando', 'jurejuro'), ('sive', 'sive'), ('voluntario', 'voluntarius'), ('sive', 'sive'), ('necessario', 'necessarius'), ('sive', 'sive'), ('iudiciali', 'iudicial')]"
94,"['de', 'in', 'litem', 'iurando']","[('de', 'de'), ('in', 'in'), ('litem', 'lito'), ('iurando', 'iuro')]"
95,"['de', 'condictione', 'causa', 'data', 'causa', 'non', 'secuta']","[('de', 'de'), ('condictione', 'condictio'), ('causa', 'causa'), ('data', 'do'), ('causa', 'causa'), ('non', 'non'), ('secuta', 'sequor')]"
96,"['de', 'condictione', 'ob', 'turpem', 'vel', 'iniustam', 'causam']","[('de', 'de'), ('condictione', 'condictio'), ('ob', 'ob'), ('turpem', 'turpis'), ('vel', 'vel'), ('iniustam', 'injustus'), ('causam', 'causa')]"
97,"['de', 'condictione', 'indebiti']","[('de', 'de'), ('condictione', 'condictio'), ('indebiti', 'indebitus')]"
98,"['de', 'condictione', 'sine', 'causa']","[('de', 'de'), ('condictione', 'condictio'), ('sine', 'sine'), ('causa', 'causa')]"
99,"['de', 'condictione', 'furtiva']","[('de', 'de'), ('condictione', 'condictio'), ('furtiva', 'furtivus')]"
100,"['de', 'condictione', 'ex', 'lege']","[('de', 'de'), ('condictione', 'condictio'), ('ex', 'ex'), ('lege', 'lex')]"
101,"['de', 'condictione', 'triticiaria']","[('de', 'de'), ('condictione', 'condictio'), ('triticiaria', 'triticiarius')]"
102,"['de', 'eo', 'quod', 'certo', 'loco', 'dari', 'oportet']","[('de', 'de'), ('eo', 'is'), ('quod', 'qui'), ('certo', 'certus'), ('loco', 'locus'), ('dari', 'do'), ('oportet', 'oportet')]"
103,"['de', 'pecunia', 'constituta']","[('de', 'de'), ('pecunia', 'pecunia'), ('constituta', 'constituo')]"
104,"['commodati', 'vel', 'contra']","[('commodati', 'commodo2'), ('vel', 'vel'), ('contra', 'contra')]"
105,"['de', 'pigneraticia', 'actione', 'vel', 'contra']","[('de', 'de'), ('pigneraticia', 'pigneraticia'), ('actione', 'actio'), ('vel', 'vel'), ('contra', 'contra')]"
106,"['de', 'exercitoria', 'actione']","[('de', 'de'), ('exercitoria', 'exercitorius'), ('actione', 'actio')]"
107,"['de', 'lege', 'rodia', 'de', 'iactu']","[('de', 'de'), ('lege', 'lex'), ('rodia', 'rodia'), ('de', 'de'), ('iactu', 'iactus')]"
108,"['de', 'institoria', 'actione']","[('de', 'de'), ('institoria', 'institorius'), ('actione', 'actio')]"
109,"['de', 'tributoria', 'actione']","[('de', 'de'), ('tributoria', 'tributorius'), ('actione', 'actio')]"
110,"['quod', 'cum', 'eo']","[('quod', 'qui'), ('cum', 'cum2'), ('eo', 'is')]"
111,"['de', 'senatus', 'consulto', 'macedoniano']","[('de', 'de'), ('senatus', 'senatus'), ('consulto', 'consultum'), ('macedoniano', 'macedoniano')]"
112,"['de', 'peculio']","[('de', 'de'), ('peculio', 'peculio')]"
113,"['quando', 'de', 'peculio', 'actio', 'annalis', 'est']","[('quando', 'quando'), ('de', 'de'), ('peculio', 'peculio'), ('actio', 'actium'), ('annalis', 'annal'), ('est', 'sum')]"
114,"['de', 'in', 'rem', 'verso']","[('de', 'de'), ('in', 'in'), ('rem', 'res'), ('verso', 'verso')]"
115,"['quod', 'iussu']","[('quod', 'qui'), ('iussu', 'iussus')]"
116,"['ad', 'senatus', 'consultum', 'velleianum']","[('ad', 'ad'), ('senatus', 'senatus'), ('consultum', 'consulo'), ('velleianum', 'velleianum')]"
117,"['de', 'compensationibus']","[('de', 'de'), ('compensationibus', 'compensatio')]"
118,"['depositi', 'vel', 'contra']","[('depositi', 'depono'), ('vel', 'vel'), ('contra', 'contra')]"
119,"['mandati', 'vel', 'contra']","[('mandati', 'mando1'), ('vel', 'vel'), ('contra', 'contra')]"
120,"['pro', 'socio']","[('pro', 'pro'), ('socio', 'socius')]"
121,"['de', 'contrahenda', 'emptione', 'et', 'de', 'pactis', 'inter', 'emptorem', 'et', 'venditorem', 'compositis', 'et', 'quae', 'res', 'venire', 'non', 'possunt']","[('de', 'de'), ('contrahenda', 'contraho'), ('emptione', 'emptio'), ('et', 'et'), ('de', 'de'), ('pactis', 'paciscor'), ('inter', 'inter'), ('emptorem', 'emptor'), ('et', 'et'), ('venditorem', 'venditor'), ('compositis', 'compono'), ('et', 'et'), ('quae', 'qui'), ('res', 'res'), ('venire', 'venio'), ('non', 'non'), ('possunt', 'possum')]"
122,"['de', 'in', 'diem', 'addictione']","[('de', 'de'), ('in', 'in'), ('diem', 'dies'), ('addictione', 'addictio')]"
123,"['de', 'lege', 'commissoria']","[('de', 'de'), ('lege', 'lex'), ('commissoria', 'commissoria')]"
124,"['de', 'hereditate', 'vel', 'actione', 'vendita']","[('de', 'de'), ('hereditate', 'hereditas'), ('vel', 'vel'), ('actione', 'actio'), ('vendita', 'vendo')]"
125,"['de', 'rescindenda', 'venditione', 'et', 'quando', 'licet', 'ab', 'emptione', 'discedere']","[('de', 'de'), ('rescindenda', 'rescindo'), ('venditione', 'venditio'), ('et', 'et'), ('quando', 'quando'), ('licet', 'licet'), ('ab', 'ab'), ('emptione', 'emptio'), ('discedere', 'discedo')]"
126,"['de', 'periculo', 'et', 'commodo', 'rei', 'venditae']","[('de', 'de'), ('periculo', 'periculum'), ('et', 'et'), ('commodo', 'commodum'), ('rei', 'res'), ('venditae', 'vendo')]"
127,"['de', 'servis', 'exportandis']","[('de', 'de'), ('servis', 'servio'), ('exportandis', 'exporto')]"
128,"['de', 'actionibus', 'empti', 'venditi']","[('de', 'de'), ('actionibus', 'actio'), ('empti', 'emo'), ('venditi', 'vendo')]"
129,"['locati', 'conducti']","[('locati', 'loco'), ('conducti', 'conduco')]"
130,"['de', 'aestimatoria']","[('de', 'de'), ('aestimatoria', 'aestimatoria')]"
131,"['de', 'rerum', 'permutatione']","[('de', 'de'), ('rerum', 'res'), ('permutatione', 'permutatio')]"
132,"['de', 'praescriptis', 'verbis', 'et', 'in', 'factum', 'actionibus']","[('de', 'de'), ('praescriptis', 'praescribo'), ('verbis', 'verbum'), ('et', 'et'), ('in', 'in'), ('factum', 'facio'), ('actionibus', 'actio')]"
133,"['de', 'pignoribus', 'et', 'hypothecis', 'et', 'qualiter', 'ea', 'contrahantur', 'et', 'de', 'pactis', 'eorum']","[('de', 'de'), ('pignoribus', 'pignus'), ('et', 'et'), ('hypothecis', 'hypotheca'), ('et', 'et'), ('qualiter', 'qualis'), ('ea', 'is'), ('contrahantur', 'contraho'), ('et', 'et'), ('de', 'de'), ('pactis', 'paciscor'), ('eorum', 'is')]"
134,"['in', 'quibus', 'causis', 'pignus', 'vel', 'hypotheca', 'tacite', 'contrahitur']","[('in', 'in'), ('quibus', 'qui'), ('causis', 'causa'), ('pignus', 'pignus'), ('vel', 'vel'), ('hypotheca', 'hypotheca'), ('tacite', 'taceo'), ('contrahitur', 'contraho')]"
135,"['quae', 'res', 'pignori', 'vel', 'hypothecae', 'datae', 'olbigari', 'non', 'possunt']","[('quae', 'qui'), ('res', 'res'), ('pignori', 'pignus'), ('vel', 'vel'), ('hypothecae', 'hypotheca'), ('datae', 'do'), ('olbigari', 'olbigaris'), ('non', 'non'), ('possunt', 'possum')]"
136,"['qui', 'potiores', 'in', 'pignore', 'vel', 'hypotheca', 'habeantur', 'et', 'de', 'his', 'qui', 'in', 'priorum', 'creditorum', 'locum', 'succedunt']","[('qui', 'qui'), ('potiores', 'potis'), ('in', 'in'), ('pignore', 'pignus'), ('vel', 'vel'), ('hypotheca', 'hypotheca'), ('habeantur', 'habeo'), ('et', 'et'), ('de', 'de'), ('his', 'hic'), ('qui', 'qui'), ('in', 'in'), ('priorum', 'prior'), ('creditorum', 'creditor'), ('locum', 'locus'), ('succedunt', 'succedo')]"
137,"['de', 'distractione', 'pignorum', 'et', 'hypothecarum']","[('de', 'de'), ('distractione', 'distractio'), ('pignorum', 'pignus'), ('et', 'et'), ('hypothecarum', 'hypothecaris')]"
138,"['quibus', 'modis', 'pignus', 'vel', 'hypotheca', 'solvitur']","[('quibus', 'qui'), ('modis', 'modus'), ('pignus', 'pignus'), ('vel', 'vel'), ('hypotheca', 'hypotheca'), ('solvitur', 'solvo')]"
139,"['de', 'aedilicio', 'edicto', 'et', 'redhibitione', 'et', 'quanti', 'minoris']","[('de', 'de'), ('aedilicio', 'aedilicius'), ('edicto', 'edictum'), ('et', 'et'), ('redhibitione', 'redhibitio'), ('et', 'et'), ('quanti', 'quantus'), ('minoris', 'paruus')]"
140,"['de', 'evictionibus', 'et', 'duplae', 'stipulatione']","[('de', 'de'), ('evictionibus', 'evictio'), ('et', 'et'), ('duplae', 'dupla'), ('stipulatione', 'stipulatio')]"
141,"['de', 'exceptione', 'rei', 'venditae', 'et', 'traditae']","[('de', 'de'), ('exceptione', 'exceptio'), ('rei', 'res'), ('venditae', 'vendo'), ('et', 'et'), ('traditae', 'trado')]"
142,"['de', 'usuris', 'et', 'fructibus', 'et', 'causis', 'et', 'omnibus', 'accessionibus', 'et', 'mora']","[('de', 'de'), ('usuris', 'utor'), ('et', 'et'), ('fructibus', 'fructus2'), ('et', 'et'), ('causis', 'causa'), ('et', 'et'), ('omnibus', 'omnis'), ('accessionibus', 'accessio'), ('et', 'et'), ('mora', 'mora')]"
143,"['de', 'nautico', 'faenore']","[('de', 'de'), ('nautico', 'nauticus'), ('faenore', 'faenus')]"
144,"['de', 'probationibus', 'et', 'praesumptionibus']","[('de', 'de'), ('probationibus', 'probatio'), ('et', 'et'), ('praesumptionibus', 'praesumptio')]"
145,"['de', 'fide', 'instrumentorum', 'et', 'amissione', 'eorum']","[('de', 'de'), ('fide', 'fides'), ('instrumentorum', 'instrumentor'), ('et', 'et'), ('amissione', 'amissio'), ('eorum', 'is')]"
146,"['de', 'testibus']","[('de', 'de'), ('testibus', 'testis')]"
147,"['de', 'iuris', 'et', 'facti', 'ignorantia']","[('de', 'de'), ('iuris', 'ius'), ('et', 'et'), ('facti', 'facio'), ('ignorantia', 'ignoro')]"
148,"['de', 'sponsalibus']","[('de', 'de'), ('sponsalibus', 'sponsal')]"
149,"['de', 'ritu', 'nuptiarum']","[('de', 'de'), ('ritu', 'ritus'), ('nuptiarum', 'nuptiae')]"
150,"['de', 'iure', 'dotium']","[('de', 'de'), ('iure', 'ius'), ('dotium', 'dos')]"
151,"['de', 'pactis', 'dotalibus']","[('de', 'de'), ('pactis', 'paciscor'), ('dotalibus', 'dotal')]"
152,"['de', 'fundo', 'dotali']","[('de', 'de'), ('fundo', 'fundo1'), ('dotali', 'dotal')]"
153,"['de', 'donationibus', 'inter', 'virum', 'et', 'uxorem']","[('de', 'de'), ('donationibus', 'donatio'), ('inter', 'inter'), ('virum', 'vir'), ('et', 'et'), ('uxorem', 'uxor')]"
154,"['de', 'divortiis', 'et', 'repudiis']","[('de', 'de'), ('divortiis', 'divortiis'), ('et', 'et'), ('repudiis', 'repudium')]"
155,"['soluto', 'matrimonio', 'dos', 'quemadmodum', 'petatur']","[('soluto', 'solvo'), ('matrimonio', 'matrimonium'), ('dos', 'dos'), ('quemadmodum', 'quemadmodum'), ('petatur', 'peto')]"
